CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
1642259,Alex Sarr,1610612764,WAS,C,20.0,41,41,0.735,7.2,13.39,0.537,0.559,-0.022
1642270,Donovan Clingan,1610612757,POR,C,22.0,55,55,0.644,6.51,13.11,0.497,0.561,-0.064
203999,Nikola Jokić,1610612743,DEN,C,31.0,43,43,0.733,7.23,13.09,0.552,0.552,0.0
203497,Rudy Gobert,1610612750,MIN,C,33.0,57,57,0.729,5.93,12.56,0.472,0.556,-0.084
1643133,Lawson Lovering,1610612763,MEM,C,22.0,2,2,0.926,6.5,12.5,0.52,0.593,-0.073
1630578,Alperen Sengun,1610612745,HOU,C,23.0,50,50,0.68,6.46,11.96,0.54,0.564,-0.024
1630596,Evan Mobley,1610612739,CLE,C,24.0,46,46,0.684,5.63,11.74,0.48,0.562,-0.082
1628436,Luke Kornet,1610612759,SAS,C-F,30.0,49,49,0.73,5.67,11.47,0.495,0.565,-0.071
1627826,Ivica Zubac,1610612754,IND,C,28.0,43,43,0.731,5.58,11.44,0.488,0.561,-0.073
1627734,Domantas Sabonis,1610612758,SAC,F-C,29.0,19,19,0.761,7.11,11.42,0.622,0.578,0.044
202696,Nikola Vučević,1610612738,BOS,C,35.0,56,56,0.689,6.05,11.38,0.532,0.563,-0.031
203954,Joel Embiid,1610612755,PHI,C-F,31.0,33,33,0.713,5.79,11.21,0.516,0.551,-0.035
1631117,Walker Kessler,1610612762,UTA,C,24.0,5,5,0.714,6.0,11.0,0.545,0.572,-0.026
1641705,Victor Wembanyama,1610612759,SAS,F-C,22.0,45,45,0.65,5.16,10.98,0.47,0.565,-0.096
1626167,Myles Turner,1610612749,MIL,C-F,29.0,54,54,0.723,5.67,10.89,0.52,0.553,-0.033
1642852,Derik Queen,1610612740,NOP,C,21.0,59,59,0.675,5.92,10.81,0.547,0.569,-0.022
203076,Anthony Davis,1610612764,WAS,F-C,32.0,20,20,0.69,5.3,10.8,0.491,0.556,-0.066
1631099,Keegan Murray,1610612758,SAC,F,25.0,23,23,0.744,6.09,10.35,0.588,0.559,0.03
1629028,Deandre Ayton,1610612747,LAL,C,27.0,50,50,0.736,5.58,10.34,0.54,0.55,-0.01
1629029,Luka Dončić,1610612747,LAL,F-G,27.0,46,46,0.617,5.91,10.2,0.58,0.546,0.034
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,52,52,0.702,4.58,10.06,0.455,0.553,-0.098
1629023,P.J. Washington,1610612742,DAL,F,27.0,42,41,0.668,5.38,9.98,0.539,0.552,-0.013
1630168,Onyeka Okongwu,1610612737,ATL,F-C,25.0,55,55,0.663,5.6,9.96,0.562,0.561,0.001
1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26.0,56,56,0.763,5.13,9.93,0.516,0.558,-0.042
1631109,Mark Williams,1610612756,PHX,C,24.0,55,55,0.69,5.87,9.8,0.599,0.564,0.035
1641750,Ryan Kalkbrenner,1610612766,CHA,C,24.0,48,48,0.729,5.08,9.56,0.532,0.558,-0.026
1629651,Nic Claxton,1610612751,BKN,C,26.0,54,54,0.708,4.89,9.5,0.515,0.556,-0.041
