CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_GT_15,FGA_GT_15,GT_15_PCT,NS_GT_15_PCT,PLUSMINUS
1642270,Donovan Clingan,1610612757,POR,C,22.0,56,56,0.451,3.59,9.14,0.393,0.364,0.028
1641705,Victor Wembanyama,1610612759,SAS,F-C,22.0,45,45,0.461,2.42,7.78,0.311,0.362,-0.051
1629029,Luka Dončić,1610612747,LAL,F-G,27.0,46,46,0.461,2.65,7.61,0.349,0.37,-0.022
1642273,Kyshawn George,1610612764,WAS,F,22.0,46,46,0.467,2.96,7.48,0.395,0.367,0.028
1629645,Kevin Porter Jr.,1610612749,MIL,G-F,25.0,33,33,0.522,2.85,7.3,0.39,0.366,0.024
1630578,Alperen Sengun,1610612745,HOU,C,23.0,50,50,0.408,2.8,7.18,0.39,0.363,0.027
1628991,Jaren Jackson Jr.,1610612762,UTA,F-C,26.0,48,48,0.476,2.48,7.1,0.349,0.361,-0.012
1627750,Jamal Murray,1610612743,DEN,G,29.0,55,55,0.488,2.38,7.0,0.34,0.368,-0.028
1628401,Derrick White,1610612738,BOS,G,31.0,57,56,0.474,2.37,6.93,0.342,0.368,-0.026
202696,Nikola Vučević,1610612738,BOS,C,35.0,56,55,0.415,2.88,6.84,0.42,0.369,0.052
203076,Anthony Davis,1610612764,WAS,F-C,32.0,20,20,0.435,2.7,6.8,0.397,0.377,0.02
203999,Nikola Jokić,1610612743,DEN,C,31.0,44,44,0.374,2.75,6.75,0.407,0.357,0.051
1630700,Dyson Daniels,1610612737,ATL,G,22.0,58,58,0.466,2.38,6.67,0.357,0.371,-0.014
1628404,Josh Hart,1610612752,NYK,G,30.0,48,48,0.47,2.29,6.67,0.344,0.362,-0.018
1628973,Jalen Brunson,1610612752,NYK,G,29.0,54,54,0.514,2.41,6.67,0.361,0.369,-0.008
203497,Rudy Gobert,1610612750,MIN,C,33.0,57,57,0.386,2.53,6.65,0.38,0.373,0.007
1630596,Evan Mobley,1610612739,CLE,C,24.0,46,46,0.387,2.24,6.65,0.337,0.37,-0.034
