CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
1642259,Alex Sarr,1610612764,WAS,C,20.0,41,41,0.544,5.46,9.9,0.552,0.639,-0.087
1631117,Walker Kessler,1610612762,UTA,C,24.0,5,5,0.558,5.2,8.6,0.605,0.641,-0.036
1630596,Evan Mobley,1610612739,CLE,C,24.0,46,46,0.461,4.15,7.91,0.525,0.639,-0.115
1643133,Lawson Lovering,1610612763,MEM,C,22.0,2,2,0.556,5.0,7.5,0.667,0.64,0.026
203999,Nikola Jokić,1610612743,DEN,C,31.0,44,44,0.399,4.64,7.2,0.644,0.636,0.008
1627734,Domantas Sabonis,1610612758,SAC,F-C,29.0,19,19,0.477,4.84,7.16,0.676,0.65,0.026
1630578,Alperen Sengun,1610612745,HOU,C,23.0,50,50,0.403,4.24,7.1,0.597,0.645,-0.048
1642852,Derik Queen,1610612740,NOP,C,21.0,59,56,0.44,4.17,7.05,0.591,0.651,-0.059
1641778,Leaky Black,1610612764,WAS,F,26.0,1,1,0.636,2.0,7.0,0.286,0.623,-0.338
1631099,Keegan Murray,1610612758,SAC,F,25.0,23,23,0.5,4.26,6.96,0.613,0.639,-0.026
203954,Joel Embiid,1610612755,PHI,C-F,31.0,33,33,0.441,4.15,6.94,0.598,0.642,-0.044
1642270,Donovan Clingan,1610612757,POR,C,22.0,55,55,0.332,3.69,6.75,0.547,0.641,-0.094
203497,Rudy Gobert,1610612750,MIN,C,33.0,57,57,0.381,3.51,6.56,0.535,0.634,-0.099
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,53,53,0.445,3.13,6.4,0.49,0.637,-0.148
1626167,Myles Turner,1610612749,MIL,C-F,29.0,54,53,0.423,3.72,6.37,0.584,0.638,-0.053
202696,Nikola Vučević,1610612738,BOS,C,35.0,56,56,0.383,4.07,6.32,0.644,0.645,-0.001
1642843,Cooper Flagg,1610612742,DAL,F,19.0,49,49,0.416,3.73,6.31,0.592,0.633,-0.041
1629023,P.J. Washington,1610612742,DAL,F,27.0,42,41,0.416,3.62,6.21,0.582,0.641,-0.059
1641824,Matas Buzelis,1610612741,CHI,F,21.0,60,60,0.433,3.48,6.17,0.565,0.63,-0.065
1629651,Nic Claxton,1610612751,BKN,C,26.0,54,54,0.455,3.56,6.11,0.582,0.634,-0.052
1630567,Scottie Barnes,1610612761,TOR,F-G,24.0,57,57,0.419,3.74,6.09,0.614,0.634,-0.02
1641705,Victor Wembanyama,1610612759,SAS,F-C,22.0,45,44,0.359,3.4,6.07,0.56,0.648,-0.087
1631109,Mark Williams,1610612756,PHX,C,24.0,55,55,0.426,3.96,6.05,0.655,0.647,0.008
203076,Anthony Davis,1610612764,WAS,F-C,32.0,20,20,0.383,3.3,6.0,0.55,0.644,-0.094
1641730,Noah Clowney,1610612751,BKN,F-C,21.0,53,52,0.433,3.96,5.96,0.665,0.633,0.032
1629029,Luka Dončić,1610612747,LAL,F-G,27.0,46,45,0.359,3.98,5.93,0.67,0.634,0.037
1630552,Jalen Johnson,1610612737,ATL,F,24.0,54,54,0.455,3.69,5.91,0.624,0.633,-0.009
1630168,Onyeka Okongwu,1610612737,ATL,F-C,25.0,55,55,0.392,3.69,5.89,0.627,0.636,-0.009
1631217,Moussa Diabaté,1610612766,CHA,F,24.0,52,52,0.441,3.65,5.83,0.627,0.647,-0.02
1642875,Maxime Raynaud,1610612758,SAC,C,22.0,53,50,0.437,3.81,5.74,0.664,0.649,0.015
1642273,Kyshawn George,1610612764,WAS,F,22.0,46,46,0.353,3.43,5.65,0.608,0.638,-0.03
1627826,Ivica Zubac,1610612754,IND,C,28.0,43,43,0.361,3.0,5.65,0.531,0.643,-0.112
1630183,Jaden McDaniels,1610612750,MIN,F,25.0,58,56,0.39,2.93,5.62,0.521,0.636,-0.115
1630583,Santi Aldama,1610612763,MEM,F-C,25.0,43,42,0.398,3.44,5.6,0.614,0.636,-0.022
204001,Kristaps Porziņģis,1610612744,GSW,F-C,30.0,18,18,0.403,2.94,5.56,0.53,0.65,-0.12
1627751,Jakob Poeltl,1610612761,TOR,C,30.0,25,25,0.425,3.52,5.56,0.633,0.636,-0.003
1628436,Luke Kornet,1610612759,SAS,C-F,30.0,49,48,0.353,3.16,5.55,0.57,0.645,-0.075
1628991,Jaren Jackson Jr.,1610612762,UTA,F-C,26.0,48,46,0.37,3.1,5.52,0.562,0.628,-0.066
1630530,Trey Murphy III,1610612740,NOP,F,25.0,52,52,0.402,3.58,5.5,0.65,0.647,0.004
1630643,Jay Huff,1610612754,IND,C,28.0,59,58,0.483,3.17,5.46,0.581,0.634,-0.053
1629638,Nickeil Alexander-Walker,1610612737,ATL,G,27.0,58,57,0.413,3.55,5.41,0.656,0.622,0.034
1631094,Paolo Banchero,1610612753,ORL,F,23.0,48,47,0.403,3.15,5.4,0.583,0.635,-0.052
1629028,Deandre Ayton,1610612747,LAL,C,27.0,50,50,0.383,3.18,5.38,0.591,0.638,-0.047
