CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1642270,Donovan Clingan,1610612757,POR,C,22.0,55,55,1.0,9.24,20.35,0.454,0.493,-0.039
1642259,Alex Sarr,1610612764,WAS,C,20.0,41,41,1.0,9.02,18.22,0.495,0.496,-0.001
203999,Nikola Jokić,1610612743,DEN,C,31.0,44,44,1.0,9.18,18.05,0.509,0.486,0.022
1630578,Alperen Sengun,1610612745,HOU,C,23.0,50,50,1.0,8.62,17.6,0.49,0.488,0.002
203497,Rudy Gobert,1610612750,MIN,C,33.0,57,57,1.0,7.6,17.23,0.441,0.492,-0.051
1630596,Evan Mobley,1610612739,CLE,C,24.0,46,46,1.0,7.46,17.17,0.434,0.488,-0.054
1641705,Victor Wembanyama,1610612759,SAS,F-C,22.0,45,45,1.0,6.98,16.89,0.413,0.496,-0.083
1629029,Luka Dončić,1610612747,LAL,F-G,27.0,46,46,1.0,7.93,16.52,0.48,0.47,0.01
202696,Nikola Vučević,1610612738,BOS,C,35.0,56,56,1.0,8.13,16.5,0.492,0.492,0.001
1642852,Derik Queen,1610612740,NOP,C,21.0,59,59,1.0,7.58,16.02,0.473,0.492,-0.019
1642273,Kyshawn George,1610612764,WAS,F,22.0,46,46,1.0,7.5,16.0,0.469,0.47,-0.001
203954,Joel Embiid,1610612755,PHI,C-F,31.0,33,33,1.0,7.15,15.73,0.455,0.483,-0.029
1628436,Luke Kornet,1610612759,SAS,C-F,30.0,49,49,1.0,6.96,15.71,0.443,0.495,-0.053
203076,Anthony Davis,1610612764,WAS,F-C,32.0,20,20,1.0,7.2,15.65,0.46,0.498,-0.038
1627826,Ivica Zubac,1610612754,IND,C,28.0,43,43,1.0,7.14,15.65,0.456,0.494,-0.037
1631117,Walker Kessler,1610612762,UTA,C,24.0,5,5,1.0,7.0,15.4,0.455,0.504,-0.05
1642843,Cooper Flagg,1610612742,DAL,F,19.0,49,49,1.0,6.92,15.14,0.457,0.468,-0.011
1626167,Myles Turner,1610612749,MIL,C-F,29.0,54,54,1.0,7.19,15.06,0.477,0.487,-0.01
1630168,Onyeka Okongwu,1610612737,ATL,F-C,25.0,55,55,1.0,7.24,15.04,0.481,0.491,-0.01
1627734,Domantas Sabonis,1610612758,SAC,F-C,29.0,19,19,1.0,8.63,15.0,0.575,0.508,0.067
1628991,Jaren Jackson Jr.,1610612762,UTA,F-C,26.0,48,48,1.0,6.4,14.94,0.428,0.482,-0.054
1629023,P.J. Washington,1610612742,DAL,F,27.0,42,42,1.0,6.98,14.93,0.467,0.48,-0.013
1628401,Derrick White,1610612738,BOS,G,31.0,57,57,1.0,6.3,14.63,0.43,0.461,-0.03
1630567,Scottie Barnes,1610612761,TOR,F-G,24.0,57,57,1.0,6.91,14.54,0.475,0.471,0.004
1630183,Jaden McDaniels,1610612750,MIN,F,25.0,58,58,1.0,6.34,14.41,0.44,0.473,-0.033
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,53,53,1.0,6.04,14.38,0.42,0.481,-0.061
1627750,Jamal Murray,1610612743,DEN,G,29.0,55,55,1.0,6.91,14.35,0.482,0.461,0.021
1630700,Dyson Daniels,1610612737,ATL,G,22.0,58,58,1.0,6.53,14.33,0.456,0.47,-0.014
1641739,Toumani Camara,1610612757,POR,F,25.0,60,60,1.0,7.18,14.25,0.504,0.474,0.03
1641824,Matas Buzelis,1610612741,CHI,F,21.0,60,60,1.0,6.58,14.23,0.463,0.472,-0.009
1631109,Mark Williams,1610612756,PHX,C,24.0,55,55,1.0,7.31,14.2,0.515,0.497,0.018
1628404,Josh Hart,1610612752,NYK,G,30.0,48,48,1.0,6.65,14.19,0.468,0.473,-0.004
1630583,Santi Aldama,1610612763,MEM,F-C,25.0,43,43,1.0,6.79,14.07,0.483,0.479,0.003
1629028,Deandre Ayton,1610612747,LAL,C,27.0,50,50,1.0,7.0,14.04,0.499,0.485,0.014
203952,Andrew Wiggins,1610612748,MIA,F,31.0,54,54,1.0,6.52,14.0,0.466,0.471,-0.006
1629645,Kevin Porter Jr.,1610612749,MIL,G-F,25.0,33,33,1.0,6.61,14.0,0.472,0.462,0.01
1631099,Keegan Murray,1610612758,SAC,F,25.0,23,23,1.0,7.3,13.91,0.525,0.483,0.042
1630595,Cade Cunningham,1610612765,DET,G,24.0,52,52,1.0,5.94,13.87,0.429,0.464,-0.035
204001,Kristaps Porziņģis,1610612744,GSW,F-C,30.0,18,18,1.0,5.72,13.78,0.415,0.494,-0.078
1627783,Pascal Siakam,1610612754,IND,F,31.0,52,52,1.0,6.67,13.77,0.485,0.479,0.005
1641730,Noah Clowney,1610612751,BKN,F-C,21.0,53,53,1.0,7.28,13.75,0.529,0.478,0.052
1628389,Bam Adebayo,1610612748,MIA,C-F,28.0,52,52,1.0,6.0,13.69,0.438,0.482,-0.044
1630530,Trey Murphy III,1610612740,NOP,F,25.0,52,52,1.0,6.92,13.67,0.506,0.472,0.035
203994,Jusuf Nurkić,1610612762,UTA,C,31.0,41,41,1.0,6.61,13.59,0.487,0.496,-0.01
1630581,Josh Giddey,1610612741,CHI,G,23.0,39,39,1.0,6.46,13.51,0.478,0.464,0.014
1631212,Peyton Watson,1610612743,DEN,G,23.0,49,49,1.0,6.29,13.51,0.465,0.469,-0.003
1643133,Lawson Lovering,1610612763,MEM,C,22.0,2,2,1.0,6.5,13.5,0.481,0.501,-0.02
1629651,Nic Claxton,1610612751,BKN,C,26.0,54,54,1.0,6.35,13.43,0.473,0.487,-0.014
